Date,Open,High,Low,Close,Volume,Market Cap
2015/8/9,261.12,267.00,260.47,265.08,"23,789,600.00","3,779,770,000.00"
2015/8/8,279.74,279.93,260.71,261.00,"58,533,000.00","4,048,270,000.00"
2015/8/7,278.74,280.39,276.37,279.59,"42,484,800.00","4,032,820,000.00"
2015/8/6,281.91,281.91,278.40,278.58,"18,792,100.00","4,077,600,000.00"
2015/8/5,284.85,285.50,281.49,281.88,"20,128,000.00","4,119,190,000.00"
2015/8/4,281.23,285.72,281.23,285.22,"21,908,700.00","4,065,870,000.00"
2015/8/3,282.81,285.47,280.23,281.23,"21,474,100.00","4,087,610,000.00"
2015/8/2,280.45,283.03,277.53,282.61,"17,722,200.00","4,052,470,000.00"
2015/8/1,284.69,284.93,278.11,281.60,"18,995,000.00","4,112,610,000.00"
2015/7/31,287.70,288.96,282.34,284.65,"23,629,100.00","4,155,010,000.00"
2015/7/30,289.10,290.13,286.57,287.72,"21,635,800.00","4,174,360,000.00"
2015/7/29,294.48,294.54,288.78,289.59,"24,672,600.00","4,250,940,000.00"
2015/7/28,293.63,296.65,293.42,294.43,"25,453,600.00","4,237,650,000.00"
2015/7/27,292.64,297.77,287.45,293.62,"30,592,000.00","4,222,210,000.00"
2015/7/26,288.64,293.05,287.71,292.69,"16,032,300.00","4,163,470,000.00"
2015/7/25,288.16,290.73,286.00,288.70,"20,662,200.00","4,155,500,000.00"
2015/7/24,276.01,289.25,275.25,288.28,"37,199,400.00","3,978,990,000.00"
2015/7/23,277.34,278.11,275.72,276.05,"18,531,300.00","3,997,290,000.00"
2015/7/22,275.66,277.67,274.38,277.22,"19,389,800.00","3,971,960,000.00"
2015/7/21,278.88,280.55,275.42,275.83,"22,930,700.00","4,017,540,000.00"
2015/7/20,273.50,278.98,272.96,278.98,"22,711,400.00","3,938,930,000.00"
2015/7/19,274.77,275.67,272.51,273.61,"15,332,500.00","3,956,140,000.00"
2015/7/18,279.33,282.53,274.08,274.90,"25,187,100.00","4,020,820,000.00"
2015/7/17,278.09,280.28,272.04,279.47,"27,591,400.00","4,001,950,000.00"
2015/7/16,286.04,291.18,275.24,278.09,"49,482,600.00","4,115,410,000.00"
2015/7/15,288.05,293.25,285.37,285.83,"27,486,600.00","4,143,120,000.00"
2015/7/14,292.03,296.15,286.64,287.46,"28,727,200.00","4,199,450,000.00"
2015/7/13,310.83,310.95,281.01,292.05,"62,053,900.00","4,468,540,000.00"
2015/7/12,293.14,314.39,292.51,310.87,"56,405,000.00","4,213,280,000.00"
2015/7/11,284.88,298.51,283.53,293.12,"41,109,900.00","4,093,500,000.00"
2015/7/10,269.16,294.59,268.80,284.89,"100,390,000.00","3,866,510,000.00"
2015/7/9,270.83,272.34,267.09,269.23,"40,301,200.00","3,889,620,000.00"
2015/7/8,265.98,272.97,264.39,270.79,"36,980,200.00","3,818,970,000.00"
2015/7/7,269.96,271.34,264.83,266.21,"28,857,600.00","3,875,220,000.00"
2015/7/6,271.11,277.42,267.60,269.03,"49,154,800.00","3,890,430,000.00"
2015/7/5,260.81,274.51,258.70,271.91,"44,156,100.00","3,741,670,000.00"
2015/7/4,256.49,261.46,254.20,260.89,"15,620,400.00","3,678,800,000.00"
2015/7/3,255.46,257.08,253.51,256.34,"19,033,800.00","3,662,970,000.00"
2015/7/2,258.55,261.63,254.12,255.41,"21,551,900.00","3,706,320,000.00"
2015/7/1,263.35,265.17,255.77,258.62,"27,029,800.00","3,774,140,000.00"
2015/6/30,257.04,267.87,255.95,263.07,"44,533,800.00","3,682,790,000.00"
2015/6/29,248.72,257.17,248.58,257.06,"34,742,900.00","3,562,790,000.00"
2015/6/28,250.96,251.17,247.43,249.01,"15,137,600.00","3,593,900,000.00"
2015/6/27,243.55,251.34,243.12,250.99,"20,488,600.00","3,487,060,000.00"
2015/6/26,242.60,243.75,241.55,243.59,"13,983,500.00","3,472,580,000.00"
2015/6/25,240.37,243.33,240.37,242.80,"16,133,100.00","3,439,620,000.00"
2015/6/24,244.28,244.34,240.52,240.52,"17,344,900.00","3,494,730,000.00"
2015/6/23,246.93,247.30,243.13,244.30,"15,108,700.00","3,531,700,000.00"
2015/6/22,243.97,247.92,243.78,246.99,"17,692,500.00","3,488,460,000.00"
2015/6/21,245.10,245.22,241.88,243.94,"10,600,900.00","3,503,880,000.00"
2015/6/20,244.53,245.83,240.63,245.21,"20,608,100.00","3,494,910,000.00"
2015/6/19,249.04,250.98,243.79,244.61,"23,965,300.00","3,558,500,000.00"
2015/6/18,249.43,252.11,244.13,249.01,"30,980,200.00","3,563,010,000.00"
2015/6/17,250.82,256.85,246.48,249.28,"43,858,400.00","3,581,960,000.00"
2015/6/16,236.77,251.74,236.12,250.90,"41,612,000.00","3,380,500,000.00"
2015/6/15,233.42,237.84,233.42,236.82,"19,912,100.00","3,331,930,000.00"
2015/6/14,232.44,234.86,232.00,233.54,"12,165,900.00","3,317,080,000.00"
2015/6/13,229.92,232.65,229.21,232.40,"13,305,300.00","3,280,180,000.00"
2015/6/12,229.71,231.06,229.31,229.98,"14,017,700.00","3,276,290,000.00"
2015/6/11,228.86,230.29,228.77,229.71,"14,416,000.00","3,263,390,000.00"
2015/6/10,229.00,229.78,228.01,228.80,"15,904,800.00","3,264,420,000.00"
2015/6/9,228.54,230.95,227.93,229.05,"28,353,100.00","3,257,050,000.00"
2015/6/8,222.88,229.46,222.84,228.49,"23,378,400.00","3,175,520,000.00"
2015/6/7,225.60,226.19,222.65,222.88,"13,318,400.00","3,213,390,000.00"
2015/6/6,225.01,225.72,224.38,225.62,"11,131,500.00","3,203,980,000.00"
2015/6/5,224.15,225.97,223.18,224.95,"18,056,500.00","3,191,080,000.00"
2015/6/4,225.77,226.58,224.05,224.32,"14,728,100.00","3,213,320,000.00"
2015/6/3,225.74,227.40,223.93,225.87,"17,752,400.00","3,212,010,000.00"
2015/6/2,222.89,226.42,222.42,225.80,"20,459,000.00","3,170,730,000.00"
2015/6/1,230.23,231.71,221.30,222.93,"26,090,500.00","3,274,370,000.00"
2015/5/31,233.14,233.25,229.54,230.19,"14,730,800.00","3,314,780,000.00"
2015/5/30,237.09,237.09,232.05,233.35,"14,098,600.00","3,370,240,000.00"
2015/5/29,237.38,237.52,235.73,237.10,"14,805,000.00","3,373,380,000.00"
2015/5/28,237.26,237.82,236.65,237.41,"13,829,600.00","3,370,890,000.00"
2015/5/27,237.07,238.64,236.70,237.28,"18,837,000.00","3,367,340,000.00"
2015/5/26,237.10,238.24,235.69,237.12,"16,425,000.00","3,367,040,000.00"
2015/5/25,240.93,241.02,236.64,237.11,"14,423,900.00","3,420,480,000.00"
2015/5/24,238.98,241.98,238.81,240.95,"11,508,000.00","3,391,910,000.00"
2015/5/23,240.29,241.03,238.69,238.87,"14,605,000.00","3,409,830,000.00"
2015/5/22,235.32,240.97,235.06,240.35,"27,003,000.00","3,338,560,000.00"
2015/5/21,234.02,236.24,233.84,235.34,"15,108,900.00","3,319,140,000.00"
2015/5/20,231.89,234.68,231.84,234.02,"15,499,400.00","3,288,140,000.00"
